Title,Topic,Date,Year,Abs,WORD_COUNT
Social Media Activity and Hyperlink Network Analysis: A Holistic Media Ecology Perspective,2015 48TH HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES (HICSS),2015,2015,"This study examines a hyperlink network among non-governmental organizations (NGOs) in China. Using social media activity, indicated by the presence of a profile, length of time since social media adoption, number of accounts followed, and number of posts, we investigate NGOs' hyperlinking behaviors from a holistic media ecology perspective. Drawing from homophily and resource dependence theoiy, this research aims to understand NGOs' hyperlink networks from their social media activity. Four findings emerge from our study. First, hyperlink networks interact with social media activities. Second, hyperlink networks are shaped by both homophily and resource dependence. However, resource dependence theory better explains hyperlink networks. Third, in line with cohort effects, length of time since social media adoption matters for hyperlink network; early social media adopters were more likely to hyperlink to early adopters. Fourth, the number of posts is a better activity predictor for NGOs' hyperlink networks than number of accounts followed.",
Collective Dynamics of Crowdfunding Networks,2015 48TH HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES (HICSS),2015,2015,"The crowdfunding phenomenon has garnered a considerable amount of attention in recent years. Several online crowdfunding platforms have risen to prominence; they can be characterized as two-sided marketplaces. Recent research reveals initial insights into the dynamics and characteristics of crowdfunding networks arising from such marketplaces. This research, though, is restricted primarily to analyses of static network snapshots and at the dyadic level. In this study, we use a large longitudinal dataset to analyze the behavior of actors on both sides of the market who promote their own and fund others' projects. We investigate the influence of endogenous and exogenous effects on the dynamics of crowdfunding networks. Our results provide evidence for mechanisms promoting a hierarchical network organization and the absence of homophily-related mechanisms regarding gender or geographic distance. Moreover, we establish that experienced and popular project creators fund fewer projects.",
Ethnic diversity and social capital in upward mobility systems Problematizing the permeability of intra-organizational career boundaries,CAREER DEVELOPMENT INTERNATIONAL,2015,2015,"Purpose - The purpose of this paper is to contribute to a better understanding of the complex relationship between ethnic diversity, social capital, and objective career success in upward mobility systems over time. The authors conceptualize the underlying process of why intra-organizational career boundaries are more permeable for dominant ethnics compared to minority ethnics.Design/methodology/approach - The authors conceptually explore and model this relationship by elaborating on three mechanisms of social capital return deficit proposed by Lin (2000), building the argument based on four underlying principles (stereotype fit, status construction, homophily, and reciprocity).Findings - Based on a proposed reciprocal relationship between social capital and objective career success, the authors suggest the development of an upward career spiral over time, which is continuously affected by ethnic group membership. Consequently, the authors argue that dominant ethnics do not only advance to a higher level of objective career success, but that they also advance exponentially faster than minority ethnics.Research limitations/implications - The conceptualization provokes the question to what extent the permeability of intra-organizational boundaries constrains careers of some, while enabling careers of others.Originality/value - The contribution lies in the exploration of the relationship between social capital and objective career success over time, of the permeability of intra-organizational career boundaries, and how both are affected by ethnic group membership.",
Community Based Information Dissemination,DATABASES THEORY AND APPLICATIONS,2015,2015,"Given a social network, we study the problem of finding k seeds that maximize the dissemination of information. Based on the principle of homophily, communities play an important role since information can be disseminated to communities via the seeds. We introduce a new mechanism for detecting communities satisfying the pertinent criteria for communities and information dissemination. We demonstrate the effectiveness of our approach by an application of the results for influence maximization.",
Relational sociology and culture: a preliminary framework,INTERNATIONAL REVIEW OF SOCIOLOGY-REVUE INTERNATIONALE DE SOCIOLOGIE,2015,2015,"In this paper I outline a framework for a relational sociology of culture. I begin by briefly defining relational sociology and contrasting it with both individualistic and holistic alternatives. Culture, I suggest, is an inherently relational concept and needs to be theorised and analysed as such. This argument is briefly elaborated through a discussion of the generation and diffusion of culture by way of interaction and social networks. The respective contributions of Tarde, Durkheim, Merleau-Ponty, and Wittgenstein are given particular attention. In the final part of the paper I introduce and discuss Howard Becker's notion of 'art worlds', drawing out and elaborating upon its relational foundations whilst also further developing it through a more sustained reflection upon both the facilitative potential of social networks and their shaping, as hypothesised by Peter Blau (and developed by Miller McPherson and Noah Mark), by way of homophilic attraction in 'social space'. The paper covers a lot of ground and is intended as a sketch which subsequent work will fill out.",
Latent Factors Meet Homophily in Diffusion Modelling,"MACHINE LEARNING AND KNOWLEDGE DISCOVERY IN DATABASES, ECML PKDD 2015, PT II",2015,2015,"Diffusion is an important dynamics that helps spreading information within an online social network. While there are already numerous models for single item diffusion, few have studied diffusion of multiple items, especially when items can interact with one another due to their inter-similarity. Moreover, the well-known homophily effect is rarely considered explicitly in the existing diffusion models. This work therefore fills this gap by proposing a novel model called Topic level Interaction Homophily Aware Diffusion (TIHAD) to include both latent factor level interaction among items and homophily factor in diffusion. The model determines item interaction based on latent factors and edge strengths based on homophily factor in the computation of social influence. An algorithm for training TIHAD model is also proposed. Our experiments on synthetic and real datasets show that: (a) homophily increases diffusion significantly, and (b) item interaction at topic level boosts diffusion among similar items. A case study on hashtag diffusion in Twitter also shows that TIHAD outperforms the baseline model in the hashtag adoption prediction task.",
A Study of the Social Relationships of Figure Skating instructors: Social Network Analysis,The Journal of Learner-Centered Curriculum and Instruction,2015,2015,"The purpose of this study was to examine the social relationships of figure skating instructors using social network analysis. A sample of 65 participants was selected via purposive sampling among instructors of Korean Figure Skating in 2014. Data were collected with a survey involving questions designed by the researchers about social relationships and social capital. Collected data were used to analyze the centrality and cohesiveness of close instructors and mentor instructors by using programs for social network analysis such as UCINET6, NetDraw, and PNet. Results revealed homophily via the instructors’ using the same ice rinks, originating from the same hometown, and being students under the same teacher, all of which strengthened social relationships among them. Instructors with high centrality possessed high social capital, often associated with the relationship between close instructors and mentor instructors. However, social relationships among instructors were also highly disconnected and closed. In sum, figure skating instructors have stronger social relationships due to homophily, yet show disconnected, closed relationships with instructors from other social relationships.",
Investigating Correlation Between Strength of Social Relationship and Interest Similarity,"COMPUTATIONAL SOCIAL NETWORKS, CSONET 2015",2015,2015,"Recent years have seen exponential growth of microblog which provides users with a new communication and information sharing platform. Some recommendation approaches have been proposed by leveraging the social relationships in microblog based on the principle of homophily to improve the accuracy of recommendation. To prove the feasibility of users social relationships as the bases of recommendation in microblog, we investigate the correlation of strength of social relationship and user interest similarity in microblog by using real-world data set. We observe that strength of social relationship shows strong positive correlation with user interest similarity in microblog. We believe our investigation presents substantial impact for social recommendation research in microblog and will benefit future research in both recommender systems and other related social implications.",
Biased Respondent Group Selection Under Limited Budget for Minority Opinion Survey,"COMPUTATIONAL SOCIAL NETWORKS, CSONET 2015",2015,2015,"This paper discusses a new approach to use the information from a special social network with high homophily to select a survey respondent group under a limited budget such that the result of the survey is biased to the minority opinions. This approach has a wide range of potential applications, e.g. collecting complaints from the customers of a new product while most of them are satisfied. We formally define the problem of computing such group with better utilization as the p-biased-representative selection problem (p-BRSP). This problem has two separate objectives and is difficult to deal with. Thus, we also propose a new unified-objective which is a function of the two optimization objectives. Most importantly, we introduce two polynomial time heuristic algorithms for the problem, where each of which has an approximation ratio with respect to each of the objectives.",
Predicting Smartphone Adoption in Social Networks,"ADVANCES IN KNOWLEDGE DISCOVERY AND DATA MINING, PART I",2015,2015,"The recent advancements in online social networks and mobile devices have provided valuable data sources to track users' smartphone adoption, i.e., the usage of smartphones over time. An incisive understanding of users' smartphone adoption can benefit many useful applications, ranging from user behavior understanding to targeted marketing. This paper studies smartphone adoption prediction in social networks by lever-aging the wisdom of an online world. A critical challenge along this line is to identify the key factors that underline people's adoption behaviors and distinguish the relative contribution of each factor. Specifically, we model the final smartphone status of each user as a result of three influencing factors: the social influence factor, the homophily factor, and the personal factor. We further develop a supervised model that takes all three factors for smartphone adoption and at the same time learns the relative contribution of each factor from the data. Experimental results on a large real world dataset demonstrate the effectiveness of our proposed model.",
Linearized and Single-Pass Belief Propagation,PROCEEDINGS OF THE VLDB ENDOWMENT,Jan 2015,2015,"How can we tell when accounts are fake or real in a social network? And how can we tell which accounts belong to liberal, conservative or centrist users? Often, we can answer such questions and label nodes in a network based on the labels of their neighbors and appropriate assumptions of homophily (""birds of a feather flock together"") or heterophily (""opposites attract""). One of the most widely used methods for this kind of inference is Belief Propagation (BP) which iteratively propagates the information from a few nodes with explicit labels throughout a network until convergence. A well-known problem with BP, however, is that there are no known exact guarantees of convergence in graphs with loops. This paper introduces Linearized Belief Propagation (LinBP), a linearization of BP that allows a closed-form solution via intuitive matrix equations and, thus, comes with exact convergence guarantees. It handles homophily, heterophily, and more general cases that arise in multi-class settings. Plus, it allows a compact implementation in SQL. The paper also introduces Single-pass Belief Propagation (SBP), a localized (or ""myopic"") version of LinBP that propagates information across every edge at most once and for which the final class assignments depend only on the nearest labeled neighbors. In addition, SBP allows fast incremental updates in dynamic networks. Our runtime experiments show that LinBP and SBP are orders of magnitude faster than standard BP, while leading to almost identical node labels.",
"An exploratory study of using 3D avatars as online salespeople The effect of avatar type on credibility, homophily, attractiveness and intention to interact",JOURNAL OF FASHION MARKETING AND MANAGEMENT,2015,2015,"Purpose - The purpose of this paper is to examine consumers' perceptions of using different types of 3D animated avatars as salespeople based on credibility, homophily, attractiveness and intention to interact.Design/methodology/approach - Using a survey method, participants (n = 120) evaluated four types of 3D animated avatars (i.e. human, fantasy, animal and humanoid) based on the supposition the avatars would represent a salesperson for an online retailer.Findings - The results show that avatar type has a significant influence on the perception of credibility, homophily, and attractiveness. Furthermore, credibility, homophily, and attractiveness significantly influence the intention to interact with the avatar. Overall, the human avatar was found to be perceived as the most credible, homophilous, attractive and was regarded as the highest in relation to intention to interact.Originality/value - The practical and theoretical implications are discussed to offer guidance to online retailers, graphic designers, and researchers in the benefits and pitfalls of utilizing 3D animated avatars as salespeople.",
Who Knows Who? Homophily in Parental Networks of Korean Phythmic Gymnasts,The Korean Journal of Physical Education,2015,2015,,
Mediating Effects of Trust: Knowledge Sharing in a Large Professional Service Firm,PROCEEDINGS OF THE 7TH EUROPEAN CONFERENCE ON INTELLECTUAL CAPITAL (ECIC 2015),2015,2015,"Effective utilization of intellectual capital hinges on valuable information and knowledge being shared throughout the organization - knowledge of who to turn to for help, of best practices, of innovative solutions, or of lessons learned from less successful endeavours. However, many organizations face significant challenges in promoting effective information and knowledge sharing among employees and there is little evidence-based guidance from empirical research studies. Information and knowledge-sharing interactions are embedded in multifaceted social contexts, influenced by several different social and cognitive (human) factors. A better grasp of these complex factors is needed to help organizations build on past experiences, respond more efficiently to emerging problems, develop new ideas and insights, and avoid reinventing solutions or repeating prior mistakes. This paper extends the findings of a large empirical study of organizational knowledge sharing, which examined the interplay of several notable social and cognitive factors, including trust, shared language, shared vision, tie strength, homophily, and relationship length. Initial data analysis examined the direct, relative, and collective effects of social and cognitive factors on organizational knowledge sharing factors (Evans, 2012). The results showed co-worker trust as having the strongest statistical influence on each factor used to operationalize organizational knowledge sharing: willingness to share knowledge, willingness to use knowledge, and perceived receipt of useful information/knowledge (Evans, 2013). This paper presents the results of a secondary data analysis, which examines whether perceived trustworthiness in co-workers acts as a mediating variable between the previously mentioned social/cognitive variables and knowledge sharing factors. Data were collected from 275 knowledge workers (legal professionals and paralegals) engaged in shared legal project work, at one of Canada's largest multijurisdictional law firms. The nature of their work required a significant reliance on co-workers, across offices nationwide, for both explicit and tacit knowledge. The nature of projects allowed respondents to objectively evaluate the outcomes, gaining a better sense of the perceived effects of knowledge shared. A method outlined by Baron and Kenny (1986), which includes hierarchical multiple regression analysis, was used to test for the mediating effect of trust. This study is one of only few to measure the role trust plays in mediating the relationship between different social/cognitive factors and knowledge sharing. Previous studies have examined this effect with far fewer factors, or with a much less inclusive conceptualization of knowledge sharing. The results show that, when perceived trustworthiness was high in the referent co-worker, there was less need for the respondent and the co-worker to have a shared vision. Alternatively, when there was less trust between co-workers, shared vision was required for them to participate in effective knowledge sharing. Trust also had a mediating effect between shared language and knowledge sharing, but only in relationships between respondents and co-workers they felt they worked well with.",
Friends and fellow travelers: comparative influence of review sites and friends on hotel choice,JOURNAL OF HOSPITALITY AND TOURISM TECHNOLOGY,2015,2015,"Purpose - This paper aims to examine when travelers are more influenced by friends (word-of-mouth [WOM]) with limited knowledge of hotels but an understanding of the traveler, and when by review sites (electronic word-of-mouth [eWOM]) which have immense experience of hotels but cannot know the individual traveler. Sites such as TripAdvisor roffer millions of reviews, and travelers often reduce that to a manageable amount by focusing on reviews by writers who show homophily, i.e. are similar to them in terms of travel interests. These sites represent a form of eWOM recommendation; what is not clear is how much they replace or augment traditional WOM.Design/methodology/approach - Dual-method content analysis of semi-structured interviews with a heterogeneous purposive sample of regular users of TripAdvisor ( N = 30), followed by a survey of TripAdvisor users (N = 237).Findings - Friends were considered the most credible information source, although friends showing greater homophily were more valued than others. However, in some circumstances, subjects found eWOMmore credible: when they wanted greater certainty in their hotel choice, so complete information was important; when the hotel was for a special occasion or special people; and for feelings of empowerment. Most subjects compared all sources rather than relying on one.Originality/value - This study reminds hotel managers that while eWOM is accessible and analyzable, it may not fully represent guests' opinions; hotels' marketing strategy should balance it with other recommendation networks. As guests compare sources, consistency in all forms of customer engagement is also essential.",
Dynamics of on-off Intermedia Agenda Sharing: The Election of Superintendent of the Seoul Metropolitan Office of Education,Korean Journal of Communication Studies,2015,2015,"The purpose of this study is to examine the process and the effects of the intermedia dynamics by way of approaching four factors such as homophily, codependence, agenda- sharing and agenda-bombing. In order to reach this purpose, various data from the social media(Facebook and Twitter), a internet news site and a newspaper are collected and comparatively analysed. Results showed that intermedia agenda-sharing was being dynamically and mutually activated as the use of internet news and SNS rapidly spread. Such phenomenon implies that agenda monopoly dominated by traditional media has passed by. As a certain issue initiated by a Facebook post is recognized as salient, the internet news site and the newspaper have driven the issue to make an agenda in which interactivity and convergence powerfully occurs. The result also indicated that the so-called 'triangle combination' of SNS-internet news-newspaper triggered the informational cascades and generated agenda-bombing which made deep impacts on the result of the election. It is expected that this study would contribute to explore collaborative journalism leading to agenda-bombing of social issue.",
Leveraging social influence to address overweight and obesity using agent-based models: The role of adolescent social networks,SOCIAL SCIENCE & MEDICINE,Jan 2015,2015,"The prevalence of adolescent overweight and obesity (hereafter, simply ""overweight"") in the US has increased over the past several decades. Individually-targeted prevention and treatment strategies targeting individuals have been disappointing, leading some to propose leveraging social networks to improve interventions. We hypothesized that social network dynamics (social marginalization; homophily on body mass index, BMI) and the strength of peer influence would increase or decrease the proportion of network member (agents) becoming overweight over a simulated year, and that peer influence would operate differently in social networks with greater overweight. We built an agent-based model (ABM) using results from R-SIENA. ABMs allow for the exploration of potential interventions using simulated agents. Initial model specifications were drawn from Wave 1 of the National Longitudinal Study of Adolescent Health (Add Health). We focused on a single saturation school with complete network and BMI data over two waves (n = 624). The model was validated against empirical observations at Wave 2. We focused on overall overweight prevalence after a simulated year. Five experiments were conducted: (1) changing attractiveness of high-BMI agents; (2) changing homophily on BMI; (3) changing the strength of peer influence; (4) shifting the overall BMI distribution; and (5) targeting dietary interventions to highly connected individuals. Increasing peer influence showed a dramatic decrease in the prevalence of overweight; making peer influence negative (i.e., doing the opposite of friends) increased overweight. However, the effect of peer influence varied based on the underlying distribution of BMI; when BMI was increased overall, stronger peer influence increased proportion of overweight. Other interventions, including targeted dieting, had little impact. Peer influence may be a viable target in overweight interventions, but the distribution of body size in the population needs to be taken into account. In low-obesity populations, strengthening peer influence may be a useful strategy. (C) 2014 Elsevier Ltd. All rights reserved.",
"Alike people, alike interests? Inferring interest similarity in online social networks",DECISION SUPPORT SYSTEMS,Jan 2015,2015,"Understanding how much two individuals are alike in their interests (i.e., interest similarity) has become virtually essential for many applications and services in Online Social Networks (OSNs). Since users do not always explicitly elaborate their interests in OSNs like Facebook, how to determine users' interest similarity without fully knowing their interests is a practical problem. In this paper, we investigate how users' interest similarity relates to various social features (e.g. geographic distance); and accordingly infer whether the interests of two users are alike or unalike where one of the users' interests are unknown. Relying on a large Facebook dataset, which contains 479,048 users and 5,263,351 user-generated interests, we present comprehensive empirical studies and verify the homophily of interest similarity across three interest domains (movies, music and TV shows). The homophily reveals that people tend to exhibit more similar tastes if they have similar demographic information (e.g., age, location), or if they are friends. It also shows that the individuals with a higher interest entropy usually share more interests with others. Based on these results, we provide a practical prediction model under a real OSN environment. For a given user with no interest information, this model can select some individuals who not only exhibit many interests but also probably achieve high interest similarities with the given user. Eventually, we illustrate a use case to demonstrate that the proposed prediction model could facilitate decision-making for OSN applications and services. (C) 2014 Elsevier B.V. All rights reserved.",
Choosing your network: Social preferences in an online health community,SOCIAL SCIENCE & MEDICINE,Jan 2015,2015,"A growing number of online health communities offer individuals the opportunity to receive information, advice, and support from peers. Recent studies have demonstrated that these new online contacts can be important informational resources, and can even exert significant influence on individuals' behavior in various contexts. However little is known about how people select their health contacts in these virtual domains. This is because selection preferences in peer networks are notoriously difficult to detect. In existing networks, unobserved pressures on tie formation such as common organizational memberships, introductions to friends of friends, or limitations on accessibility may mistakenly be interpreted as individual preferences for interacting/not interacting with others. We address these issues by adopting a social media approach to studying network formation. We study social selection using an in vivo study within an online exercise program, in which anonymous participants have equal opportunities for initiating relationships with other program members. This design allows us to identify individuals' preferences for health contacts, and to evaluate what these preferences imply for members' access to new kinds of health information, and for the kinds of social influences to which they are exposed. The study was conducted within a goal-oriented fitness competition, in which participation was greatest among a small core of active individuals. Our results show that the active participants displayed indifference to the fitness and exercise profiles of others, disregarding information about others' fitness levels, exercise preferences, and workout experiences, instead selecting partners almost entirely on the basis of similarities on gender, age, and BMI. Interestingly, the findings suggest that rather than expanding and diversifying their sources of health information, participants' choices limited the value of their online resources by selecting contacts based on characteristics that are common sources of homophily in offline relationships. In light of our findings, we discuss design principles that may be useful for organizations and policy makers trying to improve the value of participants' social capital within online health programs. (C) 2014 Elsevier Ltd. All rights reserved.",
"Siblings, friends, course-mates, club-mates: How adolescent health behavior homophily varies by race, class, gender, and health status",SOCIAL SCIENCE & MEDICINE,Jan 2015,2015,"Many unhealthy behaviors develop during adolescence, and these behaviors can have fundamental consequences for health and mortality in adulthood. Social network structure and the degree of homophily in a network affect how health behaviors and innovations are spread. However, the degree of health behavior homophily across different social ties and within subpopulations is unknown. This paper addresses this gap in the literature by using a novel regression model to document the degree of homophily across various relationship types and subpopulations for behaviors of interest that are related to health outcomes. These patterns in health behavior homophily have implications for which behaviors and ties should be the subjects of future research and for predicting how homophily may shape health programs focused on specific subpopulations (gender, race, class, health status) or a specific social context (families, peer groups, classrooms, or school activities). (C) 2014 Elsevier Ltd. All rights reserved.",
Reprint of: Results from using a new dyadic-dependence model to analyze sociocentric physician networks,SOCIAL SCIENCE & MEDICINE,Jan 2015,2015,"Professional physician networks can potentially influence clinical practices and quality of care. With the current focus on coordinated care, discerning influences of naturally occurring clusters and other forms of dependence among physicians' relationships based on their attributes and care patterns is an important area of research. In this paper, two directed physician networks: a physician influential conversation network (N = 33) and a physician network obtained from patient visit data (N = 135) are analyzed using a new model that accounts for effect modification of the within-dyad effect of reciprocity and inter-dyad effects involving three (or more) actors. The results from this model include more nuanced effects involving reciprocity and triadic dependence than under incumbent models and more flexible control for these effects in the extraction of other network phenomena, including the relationship between similarity of individuals' attributes (e.g., same-gender, same residency location) and tie-status. In both cases we find extensive evidence of clustering and triadic dependence that if not accounted for confounds the effect of reciprocity and attribute homophily. Findings from our analysis suggest alternative conclusions to those from incumbent models. (C) 2014 Elsevier Ltd. All rights reserved.",
Bridging the gap: the roles of social capital and ethnicity in medical student achievement,MEDICAL EDUCATION,Jan 2015,2015,"ObjectivesWithin medical education, there is a discrepancy between the achievement level of White students and that of their ethnic minority peers. The processes underlying this disparity have not been adequately investigated or explained. This study utilises social network analysis to investigate the impact of relationships on medical student achievement by ethnicity, specifically by examining homophily (the tendency to interact with others in the same group) by ethnicity, age and role.MethodsData from a cross-sectional social network study conducted in one UK medical school are presented and are analysed alongside examination records obtained from the medical school. Participants were sampled across the four hospital placement sites; a total of 158 medical students in their clinical phase (Years 3 and 4) completed the survey. The research was designed and analysed using social capital theory.ResultsAlthough significant patterns of ethnic and religious homophily emerged, no link was found between these factors and achievement. Interacting with problem-based learning (PBL) group peers in study-related activities, and having seniors in a wider academic support network were directly linked to better achievement. Students in higher academic quartiles were more likely to be named by members of their PBL group in study activities and to name at least one tutor or clinician in their network. Students from lower-achieving groups were least likely to have the social capital enabling, and resulting from, interactions with members of more expert social groups.ConclusionsLower levels of the social capital that mediates interaction with peers, tutors and clinicians may be the cause of underperformance by ethnic minority students. Because of ethnic homophily, minority students may be cut off from potential and actual resources that facilitate learning and achievement.Discuss ideas arising from the article at discuss.",
"Why does everybody hate me? Balance, status, and homophily: The triumvirate of signed tie formation",SOCIAL NETWORKS,Jan 2015,2015,"Despite being one of the foundational theories of signed (positive/negative) tie formation, the evidence for balance theory is far from conclusive. A recent promising alternative is status theory, but a theoretical and explanatory gap still remains, with a dearth of theories and evidence. We put forward and test eight separate theories of signed tie formation on two face-to-face networks of friendship and esteem of 282 students. We use dimension reduction (factor analysis) on the results tables comparing the predictions of these eight theories for 50 ERGM parameters with our estimated models. We find three main paradigms explain the majority of signed network formation: balance, status, and homophily. (c) 2014 Elsevier B.V. All rights reserved.",
Immigrant children and their parents: Is there an intergenerational interdependence of integration into social networks?,SOCIAL NETWORKS,Jan 2015,2015,"The paper investigates the integration of immigrant children and their parents in different dimensions of social networks - referred to as multiplexity in social network terminology. These dimensions are children's friendships, their attendance at birthday parties, and contact among their parents. By attending birthday parties, children's friendships are publicly reinforced and membership in a social circle is signified. During these events, communication and social exchange drive the process of social integration at the micro-level, and ethnic boundaries can be shifted or blurred. It will be shown that a variety of homophily effects can be found in all three network dimensions. In addition, ethnic segregation in parents' networks has an impact on children's participation in these events and, thereby, on children's integration in social networks. However, the causal effect in the other way around - children's birthday party attendance on contact among their parents - is even stronger. A new approach is the non-recursive analysis of how ties in one network dimension effect ties in another dimension. Analyses are based on 76 social networks of 1266 children in school classes in the city state of Bremen, Germany. (c) 2014 Elsevier B.V. All rights reserved.",
"Asian ethnicity in the West: preference for Chinese, Indian and Korean service staff",ASIAN ETHNICITY,2015,2015,"The emergence of ethnic markets has been rapid following the growing trend of intra-national diversity in developed nations. These new markets have attracted researchers to investigate the role of ethnicity in consumer behaviour; however, to date, literature has focused on the role of the origin of tangible goods/products. In contrast, ethnic marketing for services has gained little attention. This study fills this gap by investigating the effect of ethnicity of service staff on consumers' preferences for services. These effects are tested for the four service types identified in Lovelock's service classification scheme. This study examined consumers' preferences in services based on the ethnicity/racial category of service staff (Caucasian, Chinese, Indian and Korean) and service type (Medical, Education, Financial and Cleaning). A shopping mall intercept survey included a sample of 471. Multivariate analysis of variance was applied to test for significant variances between the mean preferences. Significant differences in preferences for the ethnicity of service staff were empirically established. Consumers, regardless of their ethnicity, prefer service staff of the same ethnicity. This creates a gap between preferences for one's own ethnicity and preferences for others. This tendency was especially strong in medical services. Consumers' preferences for service staff ethnicity are explained by the theories of country of origin, animosity, homophily and language. This study encourages service providers to make use of ethnic marketing, since a better match between service staff and customers' preferences results in less miscommunication and better cultural understanding. Training on cultural sensitivity is also encouraged. This study establishes the important role of the country of origin in services. We name this the 'country of origin of service staff (COSS)' effect.",
The Intergroup Perspective in the Classroom: An Examination of Group-Based Categorization and Relational Outcomes Between Students and Teachers,COMMUNICATION RESEARCH REPORTS,2015,2015,"This brief report highlights a study that applied the intergroup perspective to the instructional context in order to examine the ways in which group-based categorization (i.e., attitude homophily, background homophily, and global shared social identity) related to satisfaction and affect in the educational context. The results demonstrated that all three group-based categorizers were positively related to student-teacher relational satisfaction, student communication satisfaction with their teachers, and affect for teachers; yet attitude homophily emerged as the strongest contributor to feelings of shared identity.",
Like Me: A Homophily-Based Account of Human Culture,EPISTEMOLOGICAL DIMENSIONS OF EVOLUTIONARY PSYCHOLOGY,2015,2015,,
The effects of friendship and antipathy networks on adolescent attitude similarity,INTERNATIONAL JOURNAL OF ADOLESCENCE AND YOUTH,2015,2015,"Friendship is seen as an important factor in influencing the peer-to-peer social relationships and attitudes during their adolescence. However, few researchers observe adolescents' antipathy networks and study the extent to which such negative relationship influences adolescents' behaviours and attitudes. In this study, I use social network analysis to estimate the influence of friendship and antipathy between adolescents by calculating Euclidean distance in network structure and compare the distance effects of these two opposite forces on their attitude similarity. The preliminary findings show that friends do not necessarily have similar attitudes towards any dimensions of life experience, but strong friendship networks provide significant support for adolescents' emotional stability, while antipathy networks enhance the tension and conflict between peer foes because of their similar attitudes on the strong sense of ego. This result implies that friends' similarity is not as significant as studies have overwhelmingly shown as prior studies argue. Friends' and foes' similarity could be associated with the friendship and antipathy networks only by understanding the context of the interaction.",
Quantifying Partisan Selective Exposure Through Network Text Analysis of Elite Political Blog Networks During the U.S. 2012 Presidential Election,JOURNAL OF INFORMATION TECHNOLOGY & POLITICS,2015,2015,"Utilizing network-based content analysis methodologies, this study examined 316,594 hyperlinks and 60,378 headlines culled from 20 elite, partisan political blogs through 10 months of the U.S. 2012 presidential year for evidence of partisan selective exposure in blog production practices. Hyperlinks reveal dense intra-interconnectivity among progressive blogs as opposed to conservative blogs. Elite, traditional media sources operated as bridges between spheres that otherwise tended to partisan selective exposure in their partisan source linking practices toward congenial media. Headline network text analysis revealed divergent issue and people agendas promoted between both partisan blog networks, providing very strong evidence for the operation of partisan selective exposure in the emergent content practices of these elite produser publics across the 2012 U.S. presidential year.",
United We Shop! Chinese Consumers' Online Group Buying,JOURNAL OF INTERNATIONAL CONSUMER MARKETING,2015,2015,"This study aims to understand the underlying psychology that drives Chinese consumers' online group buying intention. The relationship-oriented factors of perceived homophily, consumer susceptibility to interpersonal influence, and consumer need for uniqueness were tested as key antecedents of online group buying intention. Based on a nonstudent sample of Chinese Internet users, findings indicate that consumer need for uniqueness and perceived homophily significantly and directly influenced online group buying intention, while the effect of susceptibility to normative influence on online group buying intention was mediated by consumer need for uniqueness. Theoretical and practical implications of collective online buying are provided.",
Analysis of Players Transfers in Esports. The Case of Dota 2,MINDTREK'18: PROCEEDINGS OF THE 22ND INTERNATIONAL ACADEMIC MINDTREK CONFERENCE,2015,2015,"In this work, we analyze how the esports transfer market is organized with the help of mixed methods. We assume that a combination of Social Network Analysis and Machine Learning can help to achieve deeper understanding and to find patterns which are hidden from the one-side analysis. For the research, we gathered information about transfers of Dota 2 teams made between The Internationals of 2016 and 2017 and built a network based on this data. For the ERGM, we checked the importance of belonging to one region and organization, difference of skills, and participation in TI, and for association rules, on a par with the regions, we added players roles, and a metric of their personal performance - fantasy points. Summing up the results, we found out the importance of homophily within regions, detected presence of vertical mobility, and discover the influence of the specific players roles.",
Effect of relationships in Social Networks on calculating user sentiment profiles,NEW TRENDS ON SYSTEM SCIENCES AND ENGINEERING,2015,2015,"In Social Networks there is a trend for people of similar interests to associate with each other. Such a tendency is called homophily, and in this paper we study the effect it has on calculating user sentiment profiles. We collect Twitter data such as tweets and follower relationships, and we use that to calculate initial user profiles (topic sentiments) and user connectivity. The novel approach in this paper is in the way user sentiment is calculated by using the impact of the related users. This impact related users have on one another depends on the connectivity factor between two people. We show that applying such an approach, which utilizes user connectivity when calculating user profiles, leads to better accuracy and we also show that there are indications it might help in tackling the cold start problem.",
Large Scale Homophily Analysis in Twitter Using a Twixonomy,PROCEEDINGS OF THE TWENTY-FOURTH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE (IJCAI),2015,2015,"In this paper we perform a large-scale homophily analysis on Twitter using a hierarchical representation of users' interests which we call a Twixonomy. In order to build a population, community, or single-user Twixonomy we first associate ""topical"" friends in users' friendship lists (i.e. friends representing an interest rather than a social relation between peers) withWikipedia categories. A word-sense disambiguation algorithm is used to select the appropriate wikipage for each topical friend. Starting from the set of wikipages representing ""primitive"" interests, we extract all paths connecting these pages with topmost Wikipedia category nodes, and we then prune the resulting graph G efficiently so as to induce a direct acyclic graph. This graph is the Twixonomy. Then, to analyze homophily, we compare different methods to detect communities in a peer friends Twitter network, and then for each community we compute the degree of homophily on the basis of a measure of pairwise semantic similarity. We show that the Twixonomy provides a means for describing users' interests in a compact and readable way and allows for a fine-grained homophily analysis. Furthermore, we show that mid-low level categories in the Twixonomy represent the best balance between informativeness and compactness of the representation.",
